,Year,Stony_coral,Pct_Change
0,1996,0.106905,
1,1997,0.102121875,-4.474182685561945
2,1998,0.085853125,-15.930720034272772
3,1999,0.06619875,-22.89302224001747
4,2000,0.06735375,1.7447459355350414
5,2001,0.06890990990990992,2.310428016123689
6,2002,0.07426952380952381,7.777711372168161
7,2003,0.07529047619047619,1.3746585794339738
8,2004,0.06541333333333334,-13.118714818797027
9,2005,0.06723714285714286,2.7881311513598517
10,2006,0.061919417475728156,-7.9089103960189755
11,2007,0.06361650485436894,2.740799974912589
12,2008,0.06269207920792079,-1.4531223439017138
13,2009,0.08839266055045872,40.99494173307112
14,2010,0.07016697247706422,-20.61900610287708
15,2011,0.0741168918918919,5.629314299001309
16,2012,0.07730743243243243,4.304741414675495
17,2013,0.07806148648648649,0.9753965826159172
18,2014,0.07307065217391305,-6.393465634858774
19,2015,0.07581875,3.7608776496838914
20,2016,0.0781225,3.038496414145575
21,2017,0.07486233766233766,-4.173141332730445
22,2018,0.064868125,-13.350121001318438
23,2019,0.06320875000000001,-2.5580745551069817
24,2020,0.056513125,-10.592876777344928
25,2021,0.059976875,6.1291071764302485
26,2022,0.060139374999999995,0.2709377572606142
27,2023,0.05996312499999999,-0.29306922461366236
